City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max temp in F,Windspeed
Port Elizabeth,64,US,1527517653,100,39.31,-74.98,65.57,5.73
General Roca,92,AR,1527517654,40,-39.03,-67.58,56.57,13.0
Takoradi,76,GH,1527517654,95,4.89,-1.75,80.96,8.3
Srednekolymsk,0,RU,1527517654,80,67.46,153.71,37.58,5.61
Chapais,64,CA,1527517655,85,49.78,-74.86,64.04,10.76
Port Hardy,36,CA,1527517655,96,50.7,-127.42,46.85,5.84
Barrow,92,AR,1527517655,84,-38.31,-60.23,65.3,10.65
Sola,64,NO,1527517655,81,58.89,5.65,61.34,5.73
San Borja,36,BO,1527517656,87,-14.86,-66.75,73.67,1.7
Praia,0,BR,1527517656,55,-20.25,-43.81,68.09,10.2
Busselton,32,AU,1527517656,100,-33.64,115.35,56.75,1.59
Nyurba,76,RU,1527517656,28,63.29,118.35,46.67,6.17
Saint-Augustin,48,FR,1527517657,100,44.83,-0.61,66.56,6.4
Ostrovnoy,92,RU,1527517657,89,68.05,39.51,45.23,8.52
Sao Joao da Barra,56,BR,1527517658,100,-21.64,-41.05,71.69,6.73
Bluff,0,AU,1527517658,78,-23.58,149.07,59.54,7.63
Yellowknife,56,CA,1527517658,76,62.45,-114.38,47.75,5.95
San Patricio,0,PY,1527517659,49,-26.98,-56.83,82.13,8.08
Novikovo,0,UA,1527517659,67,45.05,34.56,70.88,11.99
Kushima,92,JP,1527517660,100,31.5,131.29,68.72,7.96
Chokurdakh,0,RU,1527517660,83,70.62,147.9,28.4,15.79
Acapulco,0,MX,1527517660,68,16.86,-99.88,83.66,3.94
Saskylakh,92,RU,1527517661,93,71.97,114.09,32.18,23.17
New Norfolk,20,AU,1527517661,89,-42.78,147.06,48.83,10.2
Rikitea,12,PF,1527517661,100,-23.12,-134.97,76.64,12.55
Albany,90,US,1527512100,71,42.65,-73.75,57.2,6.93
Saiha,92,IN,1527517662,99,22.49,92.98,69.44,1.36
Charlestown,20,US,1527517663,89,41.38,-71.64,58.37,5.95
Hobart,0,AU,1527517387,72,-42.88,147.33,53.51,8.19
Arroyo,90,US,1527512040,83,41.39,-78.88,71.6,3.36
Namibe,0,AO,1527517663,100,-15.19,12.15,73.22,12.33
Nouakchott,0,MR,1527517664,86,18.08,-15.98,72.14,16.69
Longyearbyen,64,NO,1527517664,98,78.22,15.63,33.35,2.04
Qaanaaq,44,GL,1527517664,100,77.48,-69.36,22.19,4.72
Lebu,92,ET,1527517665,66,8.96,38.73,63.5,0.25
Virginia Beach,100,US,1527517423,81,36.85,-75.98,78.26,3.71
Makakilo City,75,US,1527511980,73,21.35,-158.09,75.2,5.82
Bambanglipuro,36,ID,1527517666,88,-7.95,110.28,72.95,4.94
Falam,48,MM,1527517666,97,22.91,93.68,68.18,1.81
Arraial do Cabo,88,BR,1527517666,88,-22.97,-42.02,73.67,7.18
Jiangyou,92,CN,1527517666,57,31.78,104.73,69.08,3.38
Geraldton,0,CA,1527517667,65,49.72,-86.95,68.72,5.73
Eydhafushi,88,MV,1527517667,100,5.1,73.07,83.84,27.31
Subtanjalla,0,PE,1527517668,26,-14.02,-75.76,71.96,2.48
Vaini,88,IN,1527517668,90,15.34,74.49,76.55,4.83
Watrous,0,CA,1527517669,35,51.67,-105.46,72.05,9.64
Felipe Carrillo Puerto,0,MX,1527517669,84,19.58,-88.05,83.3,3.71
Severo-Kurilsk,68,RU,1527517669,100,50.68,156.12,35.06,3.6
Vysokogornyy,64,RU,1527517669,44,50.1,139.13,57.92,4.16
Georgetown,76,GY,1527517670,96,6.8,-58.16,79.25,6.4
Jiazi,36,CN,1527517671,84,19.61,110.49,82.04,5.5
Punta Arenas,0,CL,1527517671,100,-53.16,-70.91,36.5,16.46
Avarua,92,CK,1527517671,100,-21.21,-159.78,77.27,8.75
Ayan,80,TR,1527517671,81,40.67,33.6,62.6,2.93
Mataura,0,NZ,1527517672,82,-46.19,168.86,24.08,2.71
Russkiy Aktash,80,RU,1527517672,52,55.04,52.12,47.48,14.9
Atuona,24,PF,1527517672,100,-9.8,-139.03,79.07,17.47
Hermanus,92,ZA,1527517415,100,-34.42,19.24,53.06,6.73
Puerto Ayora,32,EC,1527517673,97,-0.74,-90.35,74.57,6.73
Yulara,0,AU,1527517673,46,-25.24,130.99,59.27,12.21
Kapaa,100,US,1527517674,100,22.08,-159.32,70.34,6.73
San Policarpo,92,PH,1527517674,88,12.18,125.51,84.74,9.64
Kieta,76,PG,1527517674,100,-6.22,155.63,77.18,4.05
Coos Bay,1,US,1527515760,81,43.37,-124.22,53.6,3.36
Ushuaia,68,AR,1527517543,100,-54.81,-68.31,26.87,3.38
Isangel,64,VU,1527517676,100,-19.55,169.27,74.66,19.15
East London,88,ZA,1527517591,82,-33.02,27.91,78.62,13.44
Thompson,0,CA,1527517676,45,55.74,-97.86,55.94,3.49
Sterling,92,US,1527517677,100,39.0,-77.4,67.37,6.62
Cockburn Town,12,TC,1527517516,97,21.46,-71.14,79.34,22.39
Tiksi,68,RU,1527517677,94,71.64,128.87,33.53,3.94
Pevek,0,RU,1527517678,79,69.7,170.27,31.28,15.01
Airai,0,TL,1527517678,90,-8.93,125.41,63.05,1.81
Castro,92,CL,1527517678,81,-42.48,-73.76,50.36,6.73
Teahupoo,48,PF,1527517679,100,-17.83,-149.27,77.9,8.19
Nikolskoye,0,RU,1527517679,27,59.7,30.79,71.15,5.73
Pisco,0,PE,1527517680,87,-13.71,-76.2,67.64,1.92
Bathsheba,92,BB,1527517680,99,13.22,-59.52,80.42,16.8
Tasiilaq,12,GL,1527517680,97,65.61,-37.64,32.54,5.84
Guerrero Negro,76,MX,1527517681,94,27.97,-114.04,59.18,11.32
Dikson,68,RU,1527517681,95,73.51,80.55,27.68,14.79
Walla Walla,0,US,1527517681,40,46.06,-118.33,67.55,4.94
Imbituba,0,BR,1527517681,88,-28.24,-48.67,72.14,18.48
Samfya,0,ZM,1527517682,33,-11.37,29.56,82.85,10.2
Kuusamo,44,FI,1527517561,41,65.96,29.19,64.4,9.86
Inuvik,64,CA,1527517682,98,68.36,-133.71,26.42,6.06
Mwinilunga,88,ZM,1527517682,50,-11.73,24.43,74.48,4.05
Banda Aceh,56,ID,1527517683,90,5.56,95.32,79.52,1.59
Kaeo,0,NZ,1527517683,89,-35.1,173.78,41.72,9.64
Khatima,0,IN,1527517684,59,28.92,79.97,84.11,2.59
Nanhai,68,CN,1527517684,85,30.13,111.78,72.59,2.93
Teguldet,80,RU,1527517685,91,57.31,88.17,42.08,4.27
Cape Town,80,ZA,1527517607,100,-33.93,18.42,58.82,21.27
Saint-Philippe,92,CA,1527517685,78,45.36,-73.48,67.1,11.43
San Quintin,24,PH,1527517686,85,17.54,120.52,75.38,3.83
Tigil,76,RU,1527517686,96,57.8,158.67,32.9,5.5
Khatanga,76,RU,1527517686,90,71.98,102.47,32.0,16.46
Ravar,64,IR,1527517686,15,31.27,56.81,86.18,2.37
Jamestown,68,AU,1527517560,81,-33.21,138.6,53.51,13.44
Batsfjord,88,NO,1527517687,92,70.63,29.72,44.42,17.25
Bethel,0,US,1527517688,81,60.79,-161.76,30.11,2.15
Eyl,8,SO,1527517688,57,7.98,49.82,86.72,23.4
Portland,20,US,1527515580,76,45.52,-122.67,55.4,2.59
Tuktoyaktuk,32,CA,1527517688,100,69.44,-133.03,22.37,5.73
